"Aziende_nel_Database";"Settore";"ATECO";"Attivita";"Regioni";"Presenza_in_Lista_CONSOB";"Regime_di_rendicontazione";"Denominazione_DNF";"Modalita_di_rendicontazione";"N_Pag_DNF";"N_Pag_Sezione_ECN";"N_Pag_Sezione_ENV";"N_Pag_Sezione_SOC";"N_Pag_Sezione_CGV";"Presenza_del_Comitato_di_Sostenibilita";"Comitato_di_Sostenibilita_incluso_in_organi_endoconsigliari";"Piano_di_Sostenibilita";"Piano_di_sostenibilita_integrato_nel_piano_industriale";"Presenza_di_KPIs_e_benchmark_con_anni_pregressi";"Obiettivi_Target_ESG_breve_termine_1_2_anni_riportati";"Obiettivi_Target_ESG_lungo_termine_3_anni_riportati";"Obiettivi_Target_ENV_riportati";"Obiettivi_Target_SOC_riportati";"Sistemi_di_incentivazione_legati_alla_sostenibilita";"Integrazione_rischi_ESG_nei_sistemi_di_gestione";"Opzione_GRI_adottata";"Integrazione_con_altri_framework";"Acronimo_Integrazione_con_altri_framework";"Riferimento_a_SDGs";"SDGs_correlati_a_temi_materiali";"SDGs_correlati_a_futuri_obiettivi";"Rappresentazione_temi_materiali";"Stakeholder_engagement";"Dipendenti";"Clienti";"Fornitori";"Modalita_di_coinvolgimento_degli_stakeholder";"GRI_305_1_tCo2";"GRI_305_2_Location_Based_tCo2";"GRI_305_2_Market_Based_tCo2";"GRI_305_2_No_Method_tCo2";"GRI_305_3_tCo2";"GRI_302_1_GJ";"GRI_303_1_m3";"GRI_303_3_m3";"GRI_303_5_m3";"GRI_306_2_Short_Ton";"Emission_Intensity_Tot_GHG_scope1_piu_scope2_TOT_dipendenti";"Valore_Economico_Distribuito_ai_Fornitori_(%)";"Fornitori_valutati_su_criteri_ESG";"Rendicontazione_delle_performance_ambientali_dei_fornitori";"Rendicontazione_delle_performance_sociali_dei_fornitori";"N_uomini_dipendenti";"N_donne_dipendenti";"Donne_nel_CdA_(%)";"Donne_in_posizioni_manageriali_di_vertice_(%)";"Disuguaglianza_salariale_di_genere_(%)";"Eta_media_dipendenti_(%)";"Dipendenti_con_eta_30_per";"Dipendenti_con_eta_30_50_per";"Dipendenti_con_eta_50_per";"Eta_media_in_CdA_(%)";"Membri_del_CdA_con_eta_30_per";"Membri_del_CdA_con_eta_30_50_per";"Membri_del_CdA_con_eta_50_per";"Name";"NameFile"
"TAS SPA";"Financial Services";"620100";"";"Lazio";"No";"Societa-azioni-quotate";"BIlancio-di-Sostenibilita";"Report-separato";"66";"12";"5";"28";"11";"No";"No";"No";"No";"Si (2021-2022)";"No";"No";"No";"No";"No";"No";"With reference to";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"";"1605";"1951";"";"";"";"9928";"";"";"";"";"5206442167";"";"No";"No";"No";"475";"208";"0";"8333";"954685212";"";"15";"41";"44";"";"0";"80";"20";"203.pdf";"TASGroup-Bilancio-di-Sostenibilita-2022_IT.pdf"
"TEA";"Utilities";"701000";"";"Lombardia";"No";"Altro-EIPR-obbligato";"BIlancio-di-Sostenibilita";"Report-separato";"332";"23";"170";"84";"25";"Si";"Si";"No";"No";"Si (2020-2022)";"Si";"Si";"Si";"No";"No";"Si";"In accordance with";"SASB";"SASB";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey ";"13783";"15241";"6700";"";"87777";"205709";"";"1694950";"41817";"121678623";"5555832037";"8659612398";"Si";"No";"No";"437";"206";"60";"2142857";"9677604977";"4470513219";"11197512";"55832037";"32970451";"";"0";"0";"100";"204.pdf";"TEA_BDS_2022_WEB.pdf"
"AVVALE (ex TECHEDGE SPA) ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NULL"
"TECHNOGYM";"Manufacturing";"323000";"";"Emilia Romagna";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"253";"65";"27";"130";"16";"Si";"Si";"Si";"Si";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"270379";"403043";"266947";"";"";"805365";"";"96420";"";"1411344287";"4388096127";"71020979";"Si";"No";"No";"1479";"664";"454545";"";"";"";"13765749";"66495567";"19738684";"";"0";"18";"82";"205.pdf";"Technogym dnf 2022.pdf"
"TERNA";"Utilities";"351200";"";"Lazio";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"332";"84";"38";"84";"34";"Si";"Si";"No";"No";"Si (2020-2022)";"No";"Si";"Si";"Si";"Si";"Si";"In accordance with";"SASB; TCFD; UN Global Compact";"SASB; TCFD; UN Global Compact";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"724471";"17350466";"";"";"5655925";"806399";"";"";"";"100075537";"39953";"42";"Si";"Si";"Si";"3757";"767";"50";"237";"9876649543";"406";"2555";"4823";"2622";"";"0";"4167";"5833";"206.pdf";"Terna_Rapporto_Integrato_2022.pdf"
"TESMEC";"Machine and Plant";"256200";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"78";"10";"10";"20";"9";"Si";"Si";"Si";"Si";"Si (2021-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Workshop Mono-STK";"6319";"1418";"1818";"";"";"101249";"";"";"";"3337799";"9901554404";"";"Si";"No";"No";"821";"144";"40";"11111";"";"";"1738148984";"6060948081";"2200902935";"";"0";"60";"40";"207.pdf";"Tesmec - Relazione-Finanziaria-Annuale-2022.pdf"
"TESSELLIS (TISCALI)";"Telecommunications";"610000";"";"Sardegna";"Si";"Societa-azioni-quotate";"BIlancio-di-Sostenibilita";"Report-separato";"90";"9";"19";"24";"20";"Si";"Si";"No";"No";"Si (2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"192";"3150";"5541";"";"";"45653";"";"";"18690";"4022334";"7861061947";"7965921193";"No";"No";"No";"499";"631";"57";"1739130435";"";"";"4336283186";"7495575221";"207079646";"";"0";"28";"72";"208.pdf";"Tessellis (Tiscali)-bilancio-di-sostenibilit"
"THE ITALIAN SEA GROUP SPA";"Nautical";"301102";"";"Toscana";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"129";"13";"18";"18";"27";"Si";"Si";"Si";"No";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"With reference to";"SASB";"SASB";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"597";"21781";"3742";"";"710";"31204";"";"83117000";"";"215568";"5121568627";"866408179";"No";"No";"No";"433";"77";"2857142857";"8695652174";"8975";"";"1941176471";"5823529412";"2235294118";"";"";"";"";"211.pdf";"TISG_DNF_2022.pdf"
"TIM";"Telecommunications";"610000";"";"Lombardia";"Si";"Societa-azioni-quotate";"BIlancio-di-Sostenibilita";"Report-separato";"322";"26";"44";"73";"42";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"112989321";"399188397";"341806828";"";"4606523";"9615769909";"";"";"";"11281054";"1694682779";"";"Si";"No";"No";"31268";"19124";"40";"2011";"";"49";"5399944419";"4251269429";"520873613";"";"";"";"";"209.pdf";"TIM-bilancio-sostenibilita-2022-ITA.pdf"
"TINEXTA (ex TECNOINVESTIMENTI)";"Services";"701000";"";"Lazio";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"81";"14";"6";"15";"15";"Si";"Si";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"Si";"Si";"No";"Lista";"No";"No";"No";"No";"";"687";"";"";"";"";"23751";"";"";"";"";"310438319";"43660158550095";"No";"No";"No";"1339";"874";"45454545";"1";"";"";"18";"62";"20";"";"0";"27";"72";"210.pdf";"Tinexta - DNF-2022.pdf"
"TOD S";"Manufacturing";"152010";"";"Marche";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"160";"24";"27";"51";"22";"No";"No";"Si";"Si";"Si (2021-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"UN Global Compact";"UN Global Compact";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"1924";"12040";"11569";"";"1480";"149531";"";"119431000";"";"3008108359";"5184365482";"73";"No";"No";"No";"1663";"3262";"428571428";"4179104478";"";"";"17";"65";"18";"615";"0";"2142857143";"7857142857";"212.pdf";"TOD_S - Relazione finanziaria annuale _comprensiva della DNF.pdf"
"TOSCANA AEROPORTI";"Logistics and Transport";"522300";"";"Toscana";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"125";"20";"21";"63";"6";"Si";"Si";"Si";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"With reference to";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"";"73255";"";"";"27162";"";"659307";"";"92859";"161908";"";"1335332447";"";"Si";"No";"No";"384";"368";"40";"6666667";"9628989362";"";"2526595745";"6183510638";"3563829787";"";"0";"27";"73";"213.pdf";"Toscana Aeroporti - dnf 2022.pdf"
"TPER";"Logistics and Transport";"493100";"";"Emilia Romagna";"No";"Altro-EIPR-obbligato";"Bilancio-integrato ";"Incluso-nella-Relazione-sulla-Gestione";"157";"9";"24";"53";"10";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"SASB; IFRS ";"SASB; IFRS ";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"52102690";"";"";"385891";"6328990";"89276";"";"49985000";"50000";"2606966";"2238319019";"52";"No";"No";"No";"1882";"463";"60";"9090909";"1048568823";"";"10";"48";"42";"";"0";"40";"60";"214.pdf";"tPER - Bilancio_Integrato_2022.pdf"
"TREVI FINANZIARIA INDUSTRIALE SPA";"Construction and Engineering";"439909";"";"Emilia Romagna";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"121";"26";"18";"39";"5";"Si";"Si";"Si";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"With reference to";"";"";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Workshop Multi-STK";"53171";"";"";"2577";"";"779464";"";"9095617";"";"1010493188";"1702748931";"667311412";"Si";"No";"No";"3031";"243";"45";"7142857143";"";"";"105681124";"6255345144";"2687843616";"51";"0";"363636363";"636363636";"215.pdf";"Trevi - dnf-2022.pdf"
"TXT E-SOLUTIONS";"Retailers";"465100";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"68";"21";"10";"27";"9";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"";"326";"206";"309";"7";"746";"5700";"";"";"";"";"6356821589";"";"No";"Si";"No";"994";"340";"4285714286";"1034482759";"";"";"3433283358";"5292353823";"1274362819";"";"0";"43";"57";"216.pdf";"TXT GROUP_Dichiarazione non finanziaria 31.12.2022.pdf"
"UNICREDIT SPA";"Banks";"641910";"";"Lazio";"Si";"Societa-azioni-quotate";"Bilancio-integrato ";"Report-separato";"199";"48";"24";"54";"32";"Si";"Si";"No";"No";"Si (2021-2022)";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"UN Global Compact; SASB; IR Framework";"UN Global Compact; SASB; IR Framework";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"No";"Survey; Workshop Mono-STK";"30233";"106714";"26360";"";"28651";"1712270";"";"1708308";"";"91168255321402";"2007510941";"2178512108";"Si";"No";"No";"34784";"46564";"42";"";"";"";"";"";"";"";"0";"17";"83";"217.pdf";"UniCredit_INTEGRATO_2022_ITA.pdf"
"UNIEURO SPA";"Retailers";"464310";"";"Emilia Romagna";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"87";"7";"9";"36";"17";"Si";"Si";"Si";"Si";"Si (2020-2022)";"No";"No";"No";"No";"Si";"Si";"In accordance with";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"349";"15502";"13762";"";"1007";"249396";"";"";"";"3756677";"5119813278";"9003484321";"Si";"No";"No";"3044";"2740";"3636363636";"666666667";"8474476915";"";"1471300138";"6725449516";"1803250346";"5527272727";"0";"1818181818";"8181818182";"218.pdf";"Unieuro-S.p.A.-Dichiarazione-consolidata-di-carattere-non-finanziario-al-28-febbraio-2022.pdf"
"UBI (Acquisita da Intesta San Paolo)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NULL"
"UNIPOL GRUPPO SPA";"Financial Services";"642000";"";"Emilia Romagna";"Si";"Societa-azioni-quotate";"Bilancio-integrato ";"Incluso-nella-Relazione-sulla-Gestione";"151";"55";"16";"24";"26";"Si";"Si";"No";"No";"Si (2021-2022)";"No";"No";"No";"No";"Si";"Si";"With reference to";"TCFD; IR Framework";"TCFD; IR Framework";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"10592";"28548";"5688";"";"7775161";"530790";"";"1534887";"";"1278681";"362392886";"302";"Si";"No";"No";"5648";"6722";"40";"1622807018";"";"471";"7089733226";"519886823";"4092158448";"604";"0";"66667";"9333333";"219.pdf";"Unipol gruppo - dnf 2022.pdf"
"UNIVERSITA  TOR VERGATA";"Utilities";"854200";"";"Lazio";"No";"DNF-Volontaria";"Report-di-Sostenibilita";"Report-separato";"131";"8";"11";"60";"14";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"Si";"Si";"In accordance with";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"118763";"";"";"58083";"";"965333496";"";"";"94260";"14189833";"3053657791";"1315228115";"Si";"No";"No";"1212";"1079";"45454545";"33";"";"554";"0";"36";"64";"";"";"";"";"220.pdf";"UniversitaTorVergata_rapporto_di_sostenibilita_2022.pdf"
"VERITAS SPA";"Utilities";"380000";"";"Veneto";"Si";"Altro-EIPR-obbligato";"DNF";"Report-separato";"131";"17";"33";"41";"8";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"No";"In accordance with";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"";"30323";"30393";"51839";"";"";"919574";"";"123155000";"810000";"1219872812";"3244594984";"53";"Si";"No";"No";"2787";"682";"375";"125";"";"";"593831075";"476794465";"463822427";"56";"0";"25";"75";"221.pdf";"Veritas_DNF2022.pdf"
"VINCENZO ZUCCHI SPA";"Textile";"475110";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"87";"16";"20";"19";"7";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"With reference to";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"1149";"";"";"1473";"";"41890";"";"";"";"525186303";"4077760498";"753099640655863";"Si";"No";"Si";"125";"518";"40";"25";"";"";"613";"3231";"6156";"";"0";"40";"60";"222.pdf";"Vincenzo Zucchi SpA_dnf_2022.pdf"
"VITTORIA ASSICURAZIONI SPA";"Financial Services";"651200";"";"Lombardia";"Si";"Altro-EIPR-obbligato";"BIlancio-di-Sostenibilita";"Report-separato";"136";"23";"5";"65";"14";"Si";"No";"No";"No";"Si (2021-2022)";"No";"No";"No";"No";"No";"Si";"With reference to";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"173";"732";"1284";"";"";"10506";"";"";"";"";"3929982047";"1701253783";"Si";"No";"No";"412";"145";"15";"1429";"8915";"";"36";"557";"408";"";"0";"0";"100";"223.pdf";"Vittoria assicurazioni - Bilancio_di_Sostenibilita_2022.pdf"
"WEBUILD SPA (ex SALINI IMPREGILO)";"Construction and Engineering";"410000";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"131";"18";"38";"34";"3";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"UN Global Compact; TCFD";"UN Global Compact; TCFD";"Si";"No";"Si";"Lista";"Si";"Si";"Si";"No";"Survey ";"320851";"55873";"58098";"";"2317479";"7456698";"";"17154981";"";"8850291066";"1208040229";"7582304527";"Si";"Si";"Si";"31675";"4319";"40";"8";"";"";"25";"58";"17";"";"";"";"";"224.pdf";"Webuild (ex-salini) - DNF_2022.pdf"
"WIIT SPA";"Services";"620909";"";"Lombardia";"Si";"Societa-azioni-quotate";"BIlancio-di-Sostenibilita";"Report-separato";"92";"12";"10";"9";"5";"Si";"Si";"Si";"Si";"Si (2021-2022)";"No";"Si";"Si";"Si";"No";"Si";"With reference to";"";"";"Si";"No";"Si";"Entrambi";"Si";"No";"Si";"Si";"";"3265";"1338291";"448973";"";"";"184081";"";"";"";"";"3688942408";"920218212";"Si";"No";"No";"496";"77";"24";"11";"";"";"30";"55";"15";"";"0";"67";"33";"225.pdf";"WIIT_Bilancio-di-sostenibilit"
"ZIGNAGO VETRO SPA";"Manufacturing";"231300";"";"Veneto";"Si";"Societa-azioni-quotate";"BIlancio-di-Sostenibilita";"Report-separato";"240";"21";"84";"57";"49";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"";"";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"265407";"";"67188";"";"209775";"42444036";"";"76976";"";"538710561";"1834500827";"7087894374";"Si";"Si";"Si";"1280";"533";"42";"";"";"";"1704357419";"5107556536";"3188086045";"5925";"0";"1666667";"833333";"226.pdf";"Zignago vetro spa - dnf consolidata - 31_12_2022.pdf"
