ANNO,AteneoCOD,AteneoNOME,AteneoREGIONE,COD_FoET2013,DESC_FoET2013,Genere,DOTTORI
2022,09201,Cagliari - Universita' degli studi,Sardegna,05,"Natural sciences, mathematics and statistics",M,22
2022,09201,Cagliari - Universita' degli studi,Sardegna,06,Information and Communication Technologies (ICTs),F,3
2022,09201,Cagliari - Universita' degli studi,Sardegna,06,Information and Communication Technologies (ICTs),M,4
2022,09201,Cagliari - Universita' degli studi,Sardegna,07,"Engineering, manufacturing and construction",F,11
2022,09201,Cagliari - Universita' degli studi,Sardegna,07,"Engineering, manufacturing and construction",M,17
2022,09201,Cagliari - Universita' degli studi,Sardegna,09,Health and welfare,F,6
2022,09201,Cagliari - Universita' degli studi,Sardegna,09,Health and welfare,M,3
2022,09001,Sassari - Universita' degli studi,Sardegna,02,Arts and humanities,F,2
2022,09001,Sassari - Universita' degli studi,Sardegna,02,Arts and humanities,M,1
2022,09001,Sassari - Universita' degli studi,Sardegna,04,"Business, administration and law",F,2
2022,09001,Sassari - Universita' degli studi,Sardegna,04,"Business, administration and law",M,3
2022,09001,Sassari - Universita' degli studi,Sardegna,05,"Natural sciences, mathematics and statistics",F,6
2022,09001,Sassari - Universita' degli studi,Sardegna,05,"Natural sciences, mathematics and statistics",M,10
2022,09001,Sassari - Universita' degli studi,Sardegna,07,"Engineering, manufacturing and construction",M,2
2022,09001,Sassari - Universita' degli studi,Sardegna,08,"Agriculture, forestry, fisheries and veterinary",F,12
2022,09001,Sassari - Universita' degli studi,Sardegna,08,"Agriculture, forestry, fisheries and veterinary",M,13
2022,09001,Sassari - Universita' degli studi,Sardegna,09,Health and welfare,F,9
2022,09001,Sassari - Universita' degli studi,Sardegna,09,Health and welfare,M,1
2022,08701,Catania - Universita' degli studi,Sicilia,02,Arts and humanities,F,13
2022,08701,Catania - Universita' degli studi,Sicilia,02,Arts and humanities,M,5
2022,08701,Catania - Universita' degli studi,Sicilia,03,"Social sciences, journalism and information",F,5
2022,08701,Catania - Universita' degli studi,Sicilia,03,"Social sciences, journalism and information",M,5
2022,08701,Catania - Universita' degli studi,Sicilia,04,"Business, administration and law",F,4
2022,08701,Catania - Universita' degli studi,Sicilia,04,"Business, administration and law",M,4
2022,08701,Catania - Universita' degli studi,Sicilia,05,"Natural sciences, mathematics and statistics",F,47
2022,08701,Catania - Universita' degli studi,Sicilia,05,"Natural sciences, mathematics and statistics",M,29
2022,08701,Catania - Universita' degli studi,Sicilia,06,Information and Communication Technologies (ICTs),F,4
2022,08701,Catania - Universita' degli studi,Sicilia,06,Information and Communication Technologies (ICTs),M,7
2022,08701,Catania - Universita' degli studi,Sicilia,07,"Engineering, manufacturing and construction",F,10
2022,08701,Catania - Universita' degli studi,Sicilia,07,"Engineering, manufacturing and construction",M,19
